num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2541	73111.089455	40.031763	13.447918	-0.279305	14.901579
2543	73113.173071	40.895990	15.798344	-0.214903	12.518318
2545	73115.256874	39.958993	12.972168	-0.288656	14.040759
2547	73117.336959	41.180525	13.224815	-0.279799	11.590138
2549	73119.414128	41.718186	17.038069	-0.307466	13.297019
2551	73121.496740	41.321834	12.674859	-0.249302	10.599760
2553	73123.585010	44.034912	13.179056	-0.206664	15.615977
2555	73125.667628	45.140774	12.572831	-0.268489	12.482860
2557	73127.753156	43.112100	13.086357	-0.235386	15.514714
2559	73129.833854	40.129205	12.658472	-0.251700	14.720670
2561	73131.910936	45.271872	12.991213	-0.187625	14.454758
2563	73133.993271	46.417176	16.572009	-0.204970	13.317676
2565	73136.074862	46.388756	13.068502	-0.184617	12.169829
2567	73138.159555	45.353876	12.313262	-0.207950	15.589317
2569	73140.241478	43.957477	12.369698	-0.219857	14.473741
2571	73142.320731	42.599122	12.114698	-0.251129	12.206837
2573	73144.405146	42.980242	12.570364	-0.186830	13.949394
2575	73146.490334	42.841752	11.852159	-0.254768	14.186191
2577	73148.573539	41.573279	11.935385	-0.222965	13.858961
2579	73150.658248	43.400900	11.652596	-0.250563	14.084915
2581	73152.739783	46.366389	11.951475	-0.215636	13.123532
2583	73154.822641	43.405688	11.855055	-0.256588	13.905108
2585	73156.901990	45.015669	11.702083	-0.225257	13.434495
2587	73158.981012	42.367295	11.469931	-0.252739	15.481212
2589	73161.062268	44.605569	11.883602	-0.249184	15.528289
2591	73163.145747	41.856560	12.468022	-0.259881	14.204330
2593	73165.231206	43.683916	11.294759	-0.246233	14.518587
2595	73167.313543	43.698132	11.200914	-0.227302	14.853688
2597	73169.395789	46.275150	10.881937	-0.187225	14.210409
2599	73171.475492	45.564186	11.619160	-0.252496	15.485151
2601	73173.557281	44.479866	11.112952	-0.226744	15.089705
2603	73175.638339	44.875774	10.828364	-0.236301	16.258859
2605	73177.719503	43.659449	12.016590	-0.244334	16.593542
2607	73179.800481	46.104863	10.784807	-0.215892	16.430296
2609	73181.883325	45.120027	10.571159	-0.238289	16.996517
2611	73183.965479	43.144483	12.099904	-0.244433	17.136376
2613	73186.048172	21.418641	9.004502	-0.235664	17.144812
2615	73188.131045	46.402315	10.688347	-0.242402	16.864363
2617	73190.213859	40.086928	12.654801	-0.234264	17.997704
2619	73192.297655	45.646131	10.315282	-0.236629	16.762684
2621	73194.379093	45.704960	10.260540	-0.233807	16.081926
2623	73196.460055	44.529697	10.862979	-0.246752	17.471232
2625	73198.538556	36.871869	10.143449	-0.216647	17.098501
2627	73200.619980	45.995756	10.190304	-0.228295	17.122628
2629	73202.701182	44.729572	10.786228	-0.238344	17.518898
2631	73204.784275	45.887405	10.010046	-0.226782	17.068613
2633	73206.867570	45.392671	9.979112	-0.222169	17.602590
2635	73208.949932	49.400325	11.305486	-0.198221	17.369838
2637	73211.033642	46.618210	9.709299	-0.226935	16.891613
2639	73213.115906	46.726247	10.067334	-0.174779	17.428673
2641	73215.197691	45.963936	10.430037	-0.236478	18.683276
2643	73217.278601	45.674018	10.406047	-0.218959	17.952544
2645	73219.359696	47.688250	9.888217	-0.190031	18.023807
2647	73221.441414	45.930661	9.601784	-0.201390	18.852422
2649	73223.523155	49.365221	10.201374	-0.183896	18.996683
2651	73225.606018	50.125934	10.032705	-0.194021	18.039918
2653	73227.687954	40.507211	10.039045	-0.148977	18.223783
2655	73229.770014	48.196861	12.798818	-0.137768	17.981541
2657	73231.853598	48.548984	9.297125	-0.218232	18.245858
2659	73233.934313	48.189340	10.603622	-0.192536	17.889115
2661	73236.016052	40.481420	10.999335	-0.191285	17.392507
2663	73238.096113	47.102417	9.191119	-0.194136	18.034727
2665	73240.175332	54.757155	10.230011	-0.171626	18.830188
2667	73242.256318	45.291693	7.961536	-0.250077	17.833565
2669	73244.337740	52.074269	10.163432	-0.136218	17.020371
2671	73246.421305	49.352086	9.356520	-0.222626	17.392703
2673	73248.504959	45.804391	10.126637	-0.205283	18.453592
2675	73250.588101	43.050729	11.012505	-0.208640	18.293422
2677	73252.671277	41.406775	11.957955	-0.186924	17.784390
